what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1299494667500
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1299494667578
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.2.0.me201003052220,"org.springframework.ide.eclipse.webflow.ui",1299494667609
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1299494667640
started,bundle,org.springframework.ide.eclipse.webflow.core,2.2.0.me201003052220,"org.springframework.ide.eclipse.webflow.core",1299494667671
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1299494667703
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1299494667703
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.core",1299494667890
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1299494667890
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1299494667890
started,bundle,com.genuitec.eclipse.ws,8.5.0.me201003180050,"com.genuitec.eclipse.ws",1299494667953
started,bundle,com.genuitec.eclipse.ws.blue,8.5.0.me201003180050,"com.genuitec.eclipse.ws.blue",1299494667968
started,bundle,com.genuitec.eclipse.ws.xfire.framework,8.5.0.me201003052220,"com.genuitec.eclipse.ws.xfire.framework",1299494667984
started,bundle,com.genuitec.eclipse.ws.xfire,8.5.0.me201003052220,"com.genuitec.eclipse.ws.xfire",1299494668000
started,bundle,org.eclipse.wst.common.environment,1.0.301.v200908101600,"org.eclipse.wst.common.environment",1299494668031
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.0.20100209-0800,"org.maven.ide.eclipse.maven_model_edit",1299494669765
started,bundle,org.maven.ide.eclipse,0.10.0.me201003212033,"org.maven.ide.eclipse",1299494669937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495080093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1299495080109
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1299495080109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299495082781
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1299495095531
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1299495095562
started,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1299495095562
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1299495095796
